Date,MM_Long,MM_Short,MM_Spreading,SD_Long,SD_Short,SD_Spreading,OI_Total,LargeTrader_Long,LargeTrader_Short
2021-06-15,15205,79346,65057,232142,26061,138546,480127,25408,135401
2021-06-08,13828,78884,63894,243644,25774,145037,491858,26830,143744
2021-06-01,11017,80820,64564,242936,27405,147270,489198,28107,141556
2021-05-25,12526,90986,68215,240624,30283,143862,510164,29878,144404
2021-05-18,18969,84133,67198,234935,35672,141776,520410,27418,148491
2021-05-11,16359,87150,67146,223439,28246,131295,498693,27128,150866
2021-05-04,11043,78286,68469,203149,24449,117434,470341,25208,152760
2021-04-27,11542,83268,69531,204982,22659,117144,473305,25430,153573
2021-04-20,11755,87520,67853,205281,21297,116843,471738,25335,159142
2021-04-13,11585,86637,67517,201253,21125,112070,460733,24810,157443
2021-04-06,11916,90527,65739,201927,20541,121563,463353,26229,154140
2021-03-30,16441,89329,63726,184564,31905,113009,467321,27280,150444
2021-03-23,15470,93043,63078,187308,38233,107941,485457,31391,154833
2021-03-16,15152,94226,64465,194866,35779,100669,476467,34231,155568
2021-03-09,14579,96258,63924,190125,26153,96223,473871,30316,158616
2021-03-02,12025,98920,63300,198608,19519,106608,467008,37077,158925
2021-02-23,10658,103728,64009,222668,17419,125124,481125,35977,158957
2021-02-16,11567,111400,64698,239943,14887,125997,503016,34413,177586
2021-02-09,9490,112486,63984,253183,14326,134733,506741,37196,174593
2021-02-02,10760,114887,64507,258337,14865,137062,520011,39241,177290
2021-01-26,10278,113013,66964,263177,17648,142815,534574,38435,170717
2021-01-19,13477,114372,67123,253695,18844,127161,541330,50044,180346
2021-01-12,15210,113944,67748,259315,23022,131057,555538,37857,182160
2021-01-05,13307,118767,66849,282312,17249,167096,568888,32294,182850
2022-12-27,91331,106983,56342,56106,43511,13950,440040,10836,36539
2022-12-20,92184,104813,51557,65718,41330,13860,436653,14026,31570
2022-12-13,94229,103737,50601,66288,39850,13758,437040,15564,32472
2022-12-06,92319,93629,49665,70142,40897,11712,422100,14368,26205
2022-11-29,98970,88032,48784,73312,41705,12158,433661,14665,25846
2022-11-22,96891,92161,54527,72730,45262,14133,449542,15946,25441
2022-11-15,93757,95065,51584,69608,75828,14602,495171,20053,31405
2022-11-08,94889,88059,35324,104405,69205,16738,488471,31899,36392
2022-11-01,94979,78213,26028,119614,58278,17255,467276,28409,32104
2022-10-25,91650,72016,28462,110804,51771,18036,456072,28726,34017
2022-10-18,88947,73344,29916,99042,50402,14351,434701,19050,34892
2022-10-11,89504,78365,34246,83945,50752,11578,431395,18227,34196
2022-10-04,92811,82806,31266,89681,49981,12114,437065,17965,37898
2022-09-27,95632,74171,28004,117265,51269,15381,457061,18952,37808
2022-09-20,96320,78544,33858,115239,50131,16194,469395,22345,33596
2022-09-13,88814,80300,39708,98637,51000,12589,463674,19236,29951
2022-09-06,87940,85842,41624,92804,48627,15564,465908,17273,34866
